run_id,timestamp,step_name,stage,duration,status,error_type,error_message,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0174,2026-08-27T11:22:00.6050413Z,Check App Syntax,build,0.021,failure,SyntaxError,'return' outside function,syntax_error,1,<string>,SyntaxError: 'return' outside function,1,3.11.16
run_0175,2026-08-27T11:22:21.5110684Z,Check App Syntax,build,0.024,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
run_0176,2026-08-27T11:22:42.5194541Z,Check App Syntax,build,0.024,failure,TabError,inconsistent use of tabs and spaces in indentation,syntax_error,1,<string>,TabError: inconsistent use of tabs and spaces in indentation,1,3.11.16
run_0177,2026-08-27T11:23:08.5170155Z,Check App Syntax,build,0.026,failure,TabError,inconsistent use of tabs and spaces in indentation,syntax_error,1,<string>,TabError: inconsistent use of tabs and spaces in indentation,1,3.11.16
run_0178,2026-08-27T11:23:35.0111981Z,Check App Syntax,build,0.024,failure,TabError,inconsistent use of tabs and spaces in indentation,syntax_error,1,<string>,TabError: inconsistent use of tabs and spaces in indentation,1,3.11.16
run_0179,2026-08-27T11:24:02.9911347Z,Check App Syntax,build,0.026,failure,SyntaxError,Missing parentheses in call to 'print'. Did you mean print(...)?,syntax_error,1,<string>,SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?,1,3.11.16
run_0180,2026-08-27T11:24:30.3676765Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0181,2026-08-27T11:25:03.3076843Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0182,2026-08-27T11:25:23.2958880Z,Check App Syntax,build,0.025,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0183,2026-08-27T11:25:44.6112973Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0184,2026-08-27T11:26:05.8040829Z,Check App Syntax,build,0.023,failure,SyntaxError,'yield' outside function,syntax_error,1,<string>,SyntaxError: 'yield' outside function,1,3.11.16
run_0185,2026-08-27T11:26:26.0834197Z,Check App Syntax,build,0.021,failure,SyntaxError,'await' outside function,syntax_error,1,<string>,SyntaxError: 'await' outside function,1,3.11.16
run_0186,2026-08-27T11:26:48.2357587Z,Check App Syntax,build,0.024,failure,IndentationError,expected an indented block after function definition on line 1,syntax_error,1,<string>,IndentationError: expected an indented block after function definition on line 1,1,3.11.16
run_0187,2026-08-27T11:27:16.3318650Z,Check App Syntax,build,0.025,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0188,2026-08-27T11:27:41.3107378Z,Check App Syntax,build,0.026,failure,SyntaxError,'continue' not properly in loop,syntax_error,1,<string>,SyntaxError: 'continue' not properly in loop,1,3.11.16
run_0189,2026-08-27T11:28:02.8720601Z,Check App Syntax,build,0.026,failure,SyntaxError,'break' outside loop,syntax_error,1,<string>,SyntaxError: 'break' outside loop,1,3.11.16
run_0190,2026-08-27T11:28:24.2567568Z,Check App Syntax,build,0.027,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0191,2026-08-27T11:28:50.9047723Z,Check App Syntax,build,0.018,failure,SyntaxError,cannot use assignment expressions with expression,syntax_error,1,<string>,SyntaxError: cannot use assignment expressions with expression,1,3.11.16
run_0192,2026-08-27T11:29:18.3682010Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0193,2026-08-27T11:29:38.0964237Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0194,2026-08-27T11:29:59.2005839Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0195,2026-08-27T11:30:25.3783347Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
